Company,Address,Website,Vegetarian Friendly,Gluten Free,Open Weekends,Breakfast,Late Night Dining,Delivers,GET Mobile Ordering,Kosher Friendly,Halal Friendly
&pizza,2224 F ST NW,https://andpizza.com,Yes,Yes,Yes,,,,,,
7th Hill Pizza Palisades ,4885 MacArthur Blvd NW,http://7hpizzapalisades.com/,Yes,,Yes,,,,,,
7-11 (Seven Eleven),Mitchell Hall/514 19 St NW,,Yes,,Yes,Yes,,,,,
Asia 54,2122 P St NW,http://www.asia54washington.com/,Yes,,Yes,,,Yes,,,
Au Bon Pain,2000 Pennsylvania Ave NW,http://aubonpain.com/,Yes,Yes,Yes,Yes,,,,,
Beefsteak,"Science & Engineering Hall, 800 22nd St NW",http://beefsteakveggies.com/,Yes,Yes,Yes,,,Yes,Yes,,
Bertucci's,2000 Pennsylvania Ave NW,http://www.bertuccis.com/,Yes,Yes,Yes,,Yes,,,,
Bobby's Burger Palace,2121 K St NW,http://bobbysburgerpalace.com/,Yes,,Yes,,,,Yes,,
Brooklyn Sandwich Co,Food Truck/Mobile Site,http://www.brooklynsandwichcompany.com/,,Yes,,,,,,Yes,
Buredo,825 14th St NW,https://eatburedo.com/,Yes,,Yes,,,Yes,,,
"Burger, Tap & Shake",2200 Pennsylvania Ave NW,http://www.burgertapshake.com/burgertap.html,Yes,Yes,Yes,,Yes,,,,
Cafe Aria,1917 F St NW,,Yes,,,Yes,,,,,
California Tortilla,1809 E St NW,,,Yes,,,,,,,
Capitol Grounds Coffee,2100 Pennsylvania Ave NW,http://www.capitolgroundscoffee.com/,Yes,,,Yes,,,,,
Captain Cookie & The Milk Man,2000 Pennsylvania Ave NW,http://www.captaincookiedc.com/,Yes,Yes,Yes,,Yes,Yes,,,
Carvings,Potomac Hall/2021 F St NW,,Yes,,Yes,Yes,Yes,,,,
Chalin's Restaurant,1912 I St NW,http://www.chalinschinese.com/,Yes,,Yes,,,Yes,,,
Char Bar,2142 L St NW,http://charbardc.com,Yes,Yes,Yes,,,Yes,,Yes,Yes
Chef Brian's Comfort Kitchen,1020 19th St NW,http://iamchefbrian.com/chef-brians-comfort-kitchen/,,,Yes,,,Yes,,,
Chick-fil-A,2121 H St NW,https://www.chick-fil-a.com/Locations/DC/George-Washington-University,,Yes,Yes,,,,,,
Chipotle,"1837 M St NW, 2000 Pennsylvania Ave NW
",https://chipotle.com/home?format=aspx&type=default,Yes,Yes,Yes,,,,,,
Chop't Creative Salad Co.,1105 19th St NW,http://choptsalad.com/,Yes,Yes,,,,,,,
Chop't Creative Salad Co.,"1730 Pennsylvania Ave NW
",http://choptsalad.com/,Yes,Yes,,,,,,,
The Coffee Cart,2122 H St NW,,,,,,,,,,
Colonial Bistro,2300 I St NW,,Yes,,,Yes,,,,,Yes
Crepeaway,2001 L St NW,http://www.crepeaway.com/,Yes,,Yes,,Yes,Yes,Yes,,
Crepe N Cream,2818 Pennsylvania Ave NW,http://crepencream.eat24hour.com/,Yes,,Yes,,,Yes,,,
CVS Pharmacy,"1901 Pennsylvania Ave NW
",http://www.cvs.com/?WT.mc_id=PS_DB_09102012_AlwaysON&WT.srch=1&utm_source=Google&utm_medium=cpc&utm_term=cvs&utm_campaign=paid%2Bsearch,Yes,Yes,Yes,Yes,,,,Yes,Yes
CVS Pharmacy,"2550 Virginia Ave NW
",http://www.cvs.com/?WT.mc_id=PS_DB_09102012_AlwaysON&WT.srch=1&utm_source=Google&utm_medium=cpc&utm_term=cvs&utm_campaign=paid%2Bsearch,Yes,Yes,Yes,Yes,,,,Yes,Yes
CVS Pharmacy,"2125 E St NW
",http://www.cvs.com/?WT.mc_id=PS_DB_09102012_AlwaysON&WT.srch=1&utm_source=Google&utm_medium=cpc&utm_term=cvs&utm_campaign=paid%2Bsearch,Yes,Yes,Yes,Yes,,,,Yes,Yes
CVS Pharmacy,"4859 MacArthur Blvd NW
",http://www.cvs.com/?WT.mc_id=PS_DB_09102012_AlwaysON&WT.srch=1&utm_source=Google&utm_medium=cpc&utm_term=cvs&utm_campaign=paid%2Bsearch,Yes,Yes,Yes,Yes,,,,Yes,Yes
CVS Pharmacy,"1990 K St NW
",http://www.cvs.com/?WT.mc_id=PS_DB_09102012_AlwaysON&WT.srch=1&utm_source=Google&utm_medium=cpc&utm_term=cvs&utm_campaign=paid%2Bsearch,Yes,Yes,Yes,Yes,,,,Yes,Yes
CVS Pharmacy,"2000 M St NW
",http://www.cvs.com/?WT.mc_id=PS_DB_09102012_AlwaysON&WT.srch=1&utm_source=Google&utm_medium=cpc&utm_term=cvs&utm_campaign=paid%2Bsearch,Yes,Yes,Yes,Yes,,,,Yes,Yes
CVS Pharmacy,"2000 Pennsylvania Ave NW
",http://www.cvs.com/?WT.mc_id=PS_DB_09102012_AlwaysON&WT.srch=1&utm_source=Google&utm_medium=cpc&utm_term=cvs&utm_campaign=paid%2Bsearch,Yes,Yes,Yes,Yes,,,,Yes,Yes
DC Pizza,1103 19th St NW,http://www.dcpizzaonline.com/,Yes,Yes,,,,Yes,,,
Devon & Blakely,2200 Pennsylvania Ave NW,http://devonblakelyfoggybottom.com,Yes,Yes,Yes,Yes,,Yes,,,
Domino's Pizza,2029 K St NW,https://www.dominos.com/en/,Yes,Yes,Yes,,Yes,Yes,,,
Dunkin Donuts,616 23rd St NW,http://www.dunkindonuts.com/dunkindonuts/en.html,Yes,,Yes,Yes,,,,,
Flavors of India,2524 L St NW,http://flavorsofindiadc.com/,Yes,,Yes,,,Yes,Yes,,
FoBoGro,2140 F St NW,http://www.fobogro.com/,Yes,Yes,Yes,Yes,,,,,
Foggy Bottom Freshfarm Market,"SEASONAL: Open April – November,I Street Mall NW
 ",http://freshfarmmarkets.org/foggy-bottom.html,Yes,,,,,,,,
Froggy Bottom Pub,2021 K St NW,http://www.froggybottompub.com/,Yes,Yes,Yes,,,,,,
Gallery Cafe,Shenkman Hall (LL)/616 23rd St NW,,Yes,,,Yes,,,,,
Gallery Market,Shenkman Hall (LL)/616 23rd St NW,,Yes,Yes,Yes,Yes,Yes,,,,
Grilled Cheese Bar,1730 Pennsylvania Ave NW,http://grilledcheesedc.com/,Yes,Yes,Yes,,,Yes,,,
GRK Fresh Greek,"District House (LL)/2121 H St NW, 1140 19th St NW",http://www.grkfresh.com/home,Yes,Yes,,Yes,,,,,
GroW Garden/Lancaster Farm Fresh Cooperative CSA,"August 20-September 16, 6-8pm, Across from Amsterdam Hall",,Yes,,,,,,,,
GNC Live Well,1754 Pennsylvania Ave NW,,Yes,,Yes,,,,,,Yes
GW Delicatessen,2133 G St NW,,Yes,,Yes,Yes,,,,,
GW Hospital Cafeteria,900 23rd St NW,http://www.thehouseoffalafel.com/,Yes,,Yes,Yes,Yes,,,,
The House of Falafel,Food Truck,http://radining.compass-usa.com/gwdining/Pages/Home.aspx,Yes,,,,,Yes,,,
Higher Grounds Coffee Shop,2100 Foxhall Rd NW,,Yes,Yes,,Yes,,,,,
Jetties,1921 I St NW,http://jettiesdc.com/,Yes,,Yes,,,Yes,,,
Jetties,1609 Foxhall Rd NW,http://jettiesdc.com/,Yes,,Yes,,,Yes,,,
JRINK Juicery,1922 I St NW,http://jrink.com,Yes,Yes,,Yes,,Yes,,,
Juan Valdez Cafe,1889 F St NW,http://juanvaldezcoffee.com/,Yes,,,Yes,,,,,
Kaz Sushi Bistro,1915 I St NW,http://www.kazsushibistro.com/,Yes,,Yes,,,Yes,,,
Laoban Dumplings,2000 Pennsylvania Avenue,http://laobandumplings.com,Yes,,,,,,,,
Lindy's Red Lion & Bon Apetite,2040 I St NW,,Yes,,Yes,Yes,Yes,,,,
The Little Beet,1212 18th ST NW,,,Yes,,,,,,,
Los Cuates Restaurant,1564 Wisconsin Ave NW,http://www.loscuatesrestaurant.com/,Yes,,Yes,,,Yes,,,
The Magic Gourd,528 23rd St NW,http://themagicgourd.wixsite.com/magicgourd,Yes,,Yes,,,Yes,,,
Manny & Olga's,1641 Wisconsin Ave NW,http://www.mannyandolgas.com/,Yes,,Yes,,Yes,Yes,Yes,,
Moxie's,1020 19th St NW,http://www.moxiesdc.com,,,,Yes,,,,,
One Fish Two Fish,2423 Pennsylvania Ave NW,http://www.onefishtwofishdc.com/,Yes,,Yes,,Yes,Yes,,,
Onolicious Poke,District House (LL)/2121 H St NW,,,,Yes,,,,,,
Panera Bread,800 21st St NW,http://panerabread.com,Yes,,Yes,Yes,,,,,
Papa John's,2525 Pennsylvania Ave NW,/www.papajohns.com,Yes,,Yes,,Yes,Yes,,,
Paul Bakery,2000 Pennsylvania Ave NW,http://www.paul-usa.com/en/,Yes,,Yes,Yes,,,,,
Peet's Coffee,District House/2121 H St NW (entrance via Eye Street),,,Yes,Yes,Yes,,,,,
Pelham Commons Cafe,2100 Foxhall Rd NW ,http://radining.compass-usa.com/gwdining/Pages/Home.aspx,Yes,Yes,Yes,,,,,,
Penn Grill & Cafe,825 20th St NW,,Yes,,,Yes,,,,,
The Perfect Pita,2000 Pennsylvania Ave NW,http://www.theperfectpita.com/,Yes,,,Yes,,,,,
Pizza Movers,1618 Wisconsin Ave NW,http://www.pizzamover.com/,Yes,,Yes,,Yes,Yes,,,
Point Chaud,Duques Hall (ground floor)/2201 G St NW,,,,Yes,Yes,,,,,
Poppabox,20th & I St NW,http://www.poppabox.com/index.html,Yes,,Yes,Yes,,,,,
Potbelly,616 23rd St NW,http://www.potbelly.com/,Yes,,Yes,Yes,,Yes,,,
Quick Bite,Food Truck/Mobile Site,,,,,,,,,,Yes
Rasoi Indian Kitchen,1810 K St NW,http://www.rasoidc.com/,Yes,,Yes,,,Yes,,,
Rolling Cow,Food Truck/Mobile Site,,Yes,,,,,,,,
Rolls By U,2140 F St NW,,,Yes,,,,,,,
Roti,2221 I St NW,http://roti.com/,Yes,Yes,Yes,,,,,,
Safeway,4865 MacArthur Blvd NW,http://www.safeway.com/IFL/Grocery/Home,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes
Sizzling Express,538 23rd St NW,http://sizzex1.comcastbiz.net/,Yes,,Yes,Yes,,,,,
Sol Mexican Grill,District House (LL)/2121 H St NW,,Yes,Yes,Yes,Yes,,,,,
South Block Juice,Lerner Health & Wellness Center lobby/2301 G St NW,http://southblockjuice.com/pages/gwu,Yes,Yes,Yes,,,,,,
Starbucks,1957 E St NW,http://www.starbucks.com/?gclid=CKC4-L66pL0CFaVxOgodOnUA2A,Yes,Yes,Yes,Yes,,,,,
Starbucks,2130 H St NW,http://www.starbucks.com/?gclid=CKC4-L66pL0CFaVxOgodOnUA2A,Yes,Yes,Yes,Yes,,,,,
Starbucks,GW Hospital ground floor lobby,http://www.starbucks.com/?gclid=CKC4-L66pL0CFaVxOgodOnUA2A,Yes,Yes,Yes,Yes,,,,,
Subway,1959 E St NW,http://www.subway.com/en-us,Yes,,Yes,Yes,,,,,Yes
Surfside ,1800 N St NW,,,Yes,,,,,,,
Sweetgreen,The Avenue/2221 I St NW,http://www.sweetgreen.com/,Yes,Yes,Yes,,,,,,
Swizzlers,Food Truck/Mobile Site ,https://www.swizzlerfoods.com/,,,,,,,,,Yes
Tasty Kabob,Food Truck/Mobile Site,http://tastykabob.squarespace.com/,Yes,Yes,,,,,,,Yes
Taylor Gourmet,1750 Pennsylvania Ave NW,http://www.taylorgourmet.com/,Yes,,Yes,Yes,,Yes,,,
TGI Friday's,2100 Pennsylvania Ave NW,https://www.tgifridays.com/,Yes,,Yes,,Yes,,,,
Tonic @ Quigley's Pharmacy,2036 G St NW,http://tonicrestaurantdc.com/home-2/,Yes,,Yes,Yes,Yes,,,,
Uptowner Cafe,2023 G St NW,,Yes,,,Yes,,,,,
Washington Deli,1990 K St NW,http://www.washingtondeli.com/,Yes,Yes,,Yes,,Yes,,,
Whole Foods Market,2200 I St NW,http://www.wholefoodsmarket.com/,Yes,Yes,Yes,Yes,,,,Yes,Yes
Wicked Waffle,1712 I St NW,http://wickedwaffle.com/,Yes,Yes,Yes,Yes,,,,,
Wingo's,3207 O St NW,http://www.wingos.com/,Yes,,Yes,Yes,Yes,Yes,Yes,,
Wiseguys Pizza,District House (LL)/2121 H St NW,http://www.wiseguynypizza.com,Yes,,Yes,Yes,Yes,,,,
